ano,sigla_uf,numero_consumidores,consumo,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,IBGE_POP,GDP,GDP_CAPITA,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,MUN_EXPENDIT
2008,RN,11953760.0,4041745,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2008,RS,45452673.0,24706605,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2008,SC,26479644.0,17582089,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2008,SP,177488960.0,118959835,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2009,AL,9827500.0,3782090,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2009,BA,54324842.0,19850138,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2009,CE,32302042.0,7917682,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2009,GO,26450994.0,10303616,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2009,MA,19503502.0,10793787,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2009,MG,87164155.0,45091485,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2009,MS,9745205.0,3806707,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
